Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Banks,487351.0,2829494.328004592,2020-04-25,Product_1,500 Million - 1 Billion,Category 3,India,Pilibhit,saaniya,Chairman/Chief Innovation Officer,Hospital doctor,Marketing Event,Level 3,More than a week back,"Shelton,Sidney P",We have all the requirements,2
Services,88552.0,562305.2,2020-06-27,Product_2,100 - 500 Million,Category 4,India,Nanded,rekha bai,CEO/Chairman/President,Public affairs consultant,Website,Level 1,Pending,"Young,Valerie K",We have all the requirements,3
Construction Services,85702.0,548492.8,2019-11-08,Product_2,100 - 500 Million,Category 1,USA,"Mobile, AL",Keith Patterson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Sports coach,Others,Level 1,Up-to-date,"Anthony,Katherine D",No,5
Other Investment Firms,390309.0,2458946.7,2019-10-13,Product_2,50 - 100 Million,Category 2,USA,"Miami-Fort Lauderdale-West Palm Beach, FL",Joshua Wright,Chairman/CEO/President,Broadcast journalist,Contact Email,Level 3,?,"Dimattia,Frank D",Deliverable,4
Software,140949.0,818330.9278895893,2019-05-19,Product_1,100 - 500 Million,Category 3,USA,"Columbus, IN",Christopher Walter,Executive Vice President,Phytotherapist,Marketing Event,Level 2,More than a week back,"Mabrey,Kevin C",Yes,1
Other Biz Services,121705.0,760656.25,2019-10-28,Product_2,50 - 100 Million,Category 1,India,Vellore,manju,SVP/General Counsel ,Sales promotion account executive,Marketing Event,Level 2,Up-to-date,"Tondeur,Keith D",Deliverable,2
Materials/Manufacturing,420144.0,2730936.0,2019-11-12,Product_1,500 Million - 1 Billion,Category 1,India,Srinagar,kiran devi,Chairman/CEO/President,"Teacher, early years/pre",Contact Email,Level 2,2 days back,"Georgakopoulos,Vasilios T",No,4
Banks,5338.0,33362.5,2020-02-18,Product_1,500 Million - 1 Billion,Category 3,USA,"Peoria, IL",Sarah Woods,CEO/President,Early years teacher,Website,Level 1,?,"Cashin,Marc C",Yes,5
Banks,55373.0,343312.6,2019-07-19,Product_1,500 Million - 1 Billion,Category 1,India,Alipurduar,pinki,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Actor,Marketing Event,Level 1,Up-to-date,"Anthony,Katherine D",Yes,1
Other,457687.0,3020734.2,2019-09-19,Product_1,50 - 100 Million,Category 1,India,Bharauri,kirti,Executive Vice President,Software engineer,Contact Email,Level 3,Did not hear back after Level 1,"Clavey,Therese A",No,4
REIT,207335.0,1203759.1109833203,2020-10-27,Product_1,100 - 500 Million,Category 3,India,Ahmadnagar,rani,CEO/Chairman/President,Warden/ranger,Website,Level 2,More than a week back,"Irizarry,Yolanda",Yes,4
Banks,150607.0,1001536.55,2020-06-21,Product_1,50 - 100 Million,Category 4,USA,"Grand Junction, CO",George Francis,Chairman/Chief Innovation Officer,Neurosurgeon,Marketing Event,Level 2,?,"Leu,Darren L",We have all the requirements,4
Banks,164309.0,977638.55,2020-01-27,Product_1,50 - 100 Million,Category 2,India,Chirala,khusbu,Chairman/CEO/President,"Designer, multimedia",Marketing Event,Level 1,?,"Jones,Michael L",Not enough,5
Materials/Manufacturing,124235.0,751621.75,2019-02-09,Product_2,100 - 500 Million,Category 2,India,Bhubaneshwar,ritu,Chief Executive Officer,Quantity surveyor,Others,Level 3,More than a week back,"Dyson,William A",Deliverable,3
Trucking,380817.0,2513392.2,2019-05-31,Product_2,50 - 100 Million,Category 1,USA,"Chambersburg-Waynesboro, PA",Jennifer Davis,CEO/President,Armed forces operational officer,Contact Email,Level 3,Did not hear back after Level 1,"Leu,Darren L",No,1
Hospitals/Clinics,78985.0,505504.0,2019-04-23,Product_1,50 - 100 Million,Category 4,India,Thanjavur,naina,CEO/Chairman/President,TEFL teacher,Contact Email,Level 3,More than 2 weeks,"Ali,Mohamed",No,1
Banks,59557.0,330541.35,2019-11-30,Product_1,50 - 100 Million,Category 1,India,Bakshpur,santro,Chief Executive Officer,Civil Service administrator,Others,Level 1,More than a week back,"Jones,Eyvette W",Not enough,2
Construction Services,320881.0,2278255.1,2019-10-10,Product_1,500 Million - 1 Billion,Category 1,USA,"Springfield, OH",Candice Mcintyre,CEO,Archaeologist,Marketing Event,Level 2,2 days back,"Ali,Mohamed",We have all the requirements,5
Real Estate,482824.0,2945226.4,2019-05-16,Product_2,500 Million - 1 Billion,Category 3,India,Gaya,aarti,Executive Vice President,"Programmer, systems",Marketing Event,Level 2,2 days back,"Salyers,Daniel L",Yes,1
Construction Services,371548.0,2173555.8,2019-06-12,Product_1,50 - 100 Million,Category 3,India,Puducherry,preeti bharti,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Financial adviser,Contact Email,Level 2,5 days back,"Hameier,Kurt E",We have all the requirements,4
Automotive/Transportation,335694.0,1948994.1929844683,2019-10-04,Product_2,50 - 100 Million,Category 3,USA,"Chico, CA",Alex Le,CEO/President,Operational investment banker,Contact Email,Level 1,Did not hear back after Level 1,"Morsy,Omar A",Yes,3
Banks,340613.0,1958524.75,2020-05-03,Product_1,50 - 100 Million,Category 2,India,Bellary,komal,SVP/General Counsel ,Trade union research officer,Marketing Event,Level 1,Did not hear back after Level 1,"Morsy,Omar A",Cannot deliver,4
Constr - Supplies,216892.0,1344730.4,2019-07-30,Product_1,100 - 500 Million,Category 3,USA,"Monroe, MI",Anthony Armstrong,CEO/Chairman/President,Housing manager/officer,Others,Level 2,Unknown,"Davis,Brian R",Cannot deliver,5
Casinos/Gaming,110031.0,687693.75,2020-05-20,Product_1,50 - 100 Million,Category 1,USA,"Winchester, VA-WV",Tami Frost,CEO,Interior and spatial designer,Contact Email,Level 2,Did not hear back after Level 1,"Massiah,Gerard F",We have all the requirements,1
Banks,252678.0,1692942.6,2019-08-23,Product_2,500 Million - 1 Billion,Category 3,USA,"Salinas, CA",Michelle Adams,SVP/General Counsel ,Hydrologist,Marketing Event,Level 2,No track,"Irizarry,Yolanda",We have all the requirements,5
Food Processing,410369.0,2544287.8,2019-01-10,Product_1,100 - 500 Million,Category 3,USA,"Watertown-Fort Drum, NY",Luis Young,Chief Executive Officer,Fitness centre manager,Marketing Event,Level 2,Following up but lead not responding,"Georgakopoulos,Vasilios T",No,2
BioTech/Drugs,365056.0,2318105.6,2020-12-27,Product_2,100 - 500 Million,Category 3,USA,"Providence-Warwick, RI-MA",Christopher Robles,Executive Vice President,"Teacher, special educational needs",Website,Level 2,Pending,"Hebron,Artenia D",Cannot deliver,3
Restaurants,464364.0,3273766.2,2019-08-13,Product_2,500 Million - 1 Billion,Category 4,India,Dibrugarh,ritu,CEO/President,Advertising art director,Marketing Event,Level 3,More than a week back,"Knox,Antonio D",Not enough,3
Investment Bank/Brokerage,122503.0,698267.1,2019-01-21,Product_2,50 - 100 Million,Category 2,USA,"Gadsden, AL",William Kramer,Chairman/CEO/President,Emergency planning/management officer,Website,Level 1,?,"Green,Candy",Cannot deliver,1
Technology Consulting,92852.0,580325.0,2019-05-30,Product_1,500 Million - 1 Billion,Category 1,India,Tiruvannamalai,smt dhapu,CEO/President,Futures trader,Website,Level 1,More than a week back,"Pappas,Mark S",Deliverable,1
Grocery,8612.0,52102.6,2020-10-08,Product_2,500 Million - 1 Billion,Category 3,USA,"Dayton, OH",Mark Brown,Executive Vice President,"Nurse, learning disability",Website,Level 2,Pending,"Heidelberg,Andre D",Cannot deliver,1
Online Banking,285382.0,1826444.8,2019-03-28,Product_2,50 - 100 Million,Category 1,India,Ranchi,kimmi@neelam,Chairman/CEO/President,Secretary/administrator,Website,Level 1,Pending,"Green,Ann E",We have all the requirements,5
Banks,456685.0,3105458.0,2019-11-17,Product_2,50 - 100 Million,Category 4,USA,"Lake Havasu City-Kingman, AZ",Patrick Simmons,CEO/Chairman/President,Field seismologist,Marketing Event,Level 3,More than 2 weeks,"Turner,Marlon D",Cannot deliver,2
Banks,463865.0,2899156.25,2020-01-20,Product_2,50 - 100 Million,Category 2,USA,"Lakeland-Winter Haven, FL",Jennifer Hart,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Electronics engineer,Website,Level 3,Following up but lead not responding,"Maine,John P",Not enough,2
Food Processing,67300.0,390734.7441058068,2020-09-24,Product_2,50 - 100 Million,Category 3,USA,"Reno, NV",Jose Martin,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Historic buildings inspector/conservation officer,Contact Email,Level 1,Did not hear back after Level 1,"Georgakopoulos,Vasilios T",Yes,5
Banks,376485.0,2560098.0,2020-05-02,Product_2,50 - 100 Million,Category 1,USA,"Kingsport-Bristol-Bristol, TN-VA",Amy Stuart,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Secondary school teacher,Contact Email,Level 3,Unknown,"McKenstry,Loretta A",No,3
Staffing,332149.0,2075931.25,2021-02-12,Product_2,50 - 100 Million,Category 3,USA,"Iowa City, IA",Christopher Greer,Executive Vice President,Administrator,Marketing Event,Level 2,Did not hear back after Level 1,"Moran,Natalie A",Deliverable,3
Banks,411909.0,2471454.0,2021-02-14,Product_1,100 - 500 Million,Category 3,USA,"Sioux Falls, SD",Philip Richards,Chairman/CEO/President,Medical laboratory scientific officer,Contact Email,Level 2,Following up but lead not responding,"Heidelberg,Andre D",We have all the requirements,1
Associations,457274.0,2972281.0,2019-10-25,Product_2,500 Million - 1 Billion,Category 4,India,Saharanpur,puja chauhan,Executive Vice President,"Psychologist, occupational",Marketing Event,Level 2,Unknown,"Smith,Keenan H",Yes,2
Hospitals/Clinics,428962.0,2573772.0,2020-03-01,Product_2,100 - 500 Million,Category 1,India,Shahbazpur,pooja,CEO/Chairman/President,"Doctor, hospital",Others,Level 1,No track,"Leu,Darren L",We have all the requirements,3
Software,438399.0,2981113.2,2021-01-17,Product_2,100 - 500 Million,Category 4,USA,"Albany-Schenectady-Troy, NY",Michael Lopez,CEO/President,"Accountant, chartered public finance",Contact Email,Level 2,No track,"Hanyok,John J",We have all the requirements,5
Banks,420368.0,2480171.2,2020-02-16,Product_2,50 - 100 Million,Category 2,India,Rajkot,usha,SVP/General Counsel ,Horticultural therapist,Website,Level 2,Following up but lead not responding,"Ross,Eric L",We have all the requirements,4
Construction Services,393530.0,2518592.0,2019-01-03,Product_2,100 - 500 Million,Category 1,India,Dhanbad,sona,CEO,Interpreter,Marketing Event,Level 1,No track,"Ullrich,Rose Anne",Not enough,4
Materials/Manufacturing,86291.0,569520.6,2019-04-22,Product_2,50 - 100 Million,Category 1,India,Alappuzha,anju devi,CEO/President,Further education lecturer,Contact Email,Level 3,Pending,"Jones,Michael L",Not enough,4
Banks,76029.0,478982.7,2019-10-17,Product_2,500 Million - 1 Billion,Category 4,India,Ranchi,manju,Chief Executive Officer,Manufacturing systems engineer,Marketing Event,Level 1,Did not hear back after Level 1,"Himes,Maurice C",No,2
Consumer Products,274931.0,1677079.1,2021-02-05,Product_1,500 Million - 1 Billion,Category 4,USA,"Flint, MI",Jacob Montgomery,CEO/Chairman/President,"Scientist, biomedical",Others,Level 1,2 days back,"Davis,Brian R",Not enough,2
Software,487656.0,3169764.0,2020-06-14,Product_2,500 Million - 1 Billion,Category 2,India,Machilipatnam,vinita,CEO/President,Archivist,Website,Level 3,More than a week back,"Thomas,Lori E",No,3
Professional Services,102240.0,623664.0,2020-07-15,Product_2,500 Million - 1 Billion,Category 4,India,Ludhiana,sonyi,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Trade mark attorney,Others,Level 2,more than a month,"Dyson,William A",We have all the requirements,2
Investment Bank/Brokerage,406960.0,2746980.0,2019-12-30,Product_1,100 - 500 Million,Category 1,USA,"Charleston-North Charleston, SC",Dr. Bryan Vargas,SVP/General Counsel ,"Journalist, broadcasting",Contact Email,Level 3,5 days back,"Robinson,John C",Not enough,2
REIT,47786.0,255655.1,2020-04-10,Product_1,50 - 100 Million,Category 2,India,Lucknow,arpna pathak,Chairman/CEO/President,Glass blower/designer,Marketing Event,Level 1,More than 2 weeks,"Van Arter,Derrick",Yes,2
Staffing,300297.0,1861841.4,2019-03-10,Product_2,50 - 100 Million,Category 4,India,Dindigul,preety,Executive Vice President,Retail merchandiser,Website,Level 1,Following up but lead not responding,"Green,Candy",Deliverable,4
Architecture/Engineering,162873.0,952807.05,2020-02-20,Product_2,50 - 100 Million,Category 1,India,Bhuj,amreen,Executive Vice President,Rural practice surveyor,Others,Level 2,No track,"Kiepea,Prince A",No,2
Insurance,58778.0,405568.2,2020-02-17,Product_2,500 Million - 1 Billion,Category 4,India,Tiruchchirappalli,kushum,CEO/Chairman/President,"Accountant, chartered",Website,Level 3,Unknown,"Knox,Antonio D",Yes,4
Technology Consulting,439832.0,2553605.4081656053,2019-12-25,Product_2,100 - 500 Million,Category 4,USA,"Sacramento--Roseville--Arden-Arcade, CA",Melissa Meyer,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Broadcast engineer,Website,Level 2,More than a week back,"Gaskins Jr,Franklin D",We have all the requirements,3
Hotels/Motels,244934.0,1616564.4,2020-10-30,Product_1,100 - 500 Million,Category 2,USA,"Williamsport, PA",Chris Casey,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Amenity horticulturist,Website,Level 3,5 days back,"Maine,John P",Cannot deliver,3
Beverages (Non-Alcoholic),8343.0,43800.75,2020-10-18,Product_1,50 - 100 Million,Category 3,USA,"Charlottesville, VA",Cynthia Jones,CEO/President,"Accountant, chartered public finance",Others,Level 1,more than a month,"Young,Valerie K",No,1
Financial Services,408295.0,2633502.75,2019-03-27,Product_1,100 - 500 Million,Category 2,USA,"Janesville-Beloit, WI",Courtney Jackson,Chief Executive Officer,Chief Financial Officer,Website,Level 2,Did not hear back after Level 1,"Gould,Lisa D",Yes,5
Non-Profit,112933.0,700184.6,2021-01-21,Product_2,50 - 100 Million,Category 4,India,Saidapur,sitara,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Energy engineer,Others,Level 3,?,"Ryker,David",Yes,2
Financial Services,396541.0,2379246.0,2020-12-27,Product_1,100 - 500 Million,Category 3,India,Bhagalpur,ramkali,SVP/General Counsel ,TEFL teacher,Marketing Event,Level 1,Up-to-date,"Irizarry,Yolanda",Deliverable,4
Real Estate,464395.0,2972128.0,2019-08-01,Product_1,50 - 100 Million,Category 1,India,Ghandinagar,uma,CEO/President,Therapeutic radiographer,Others,Level 3,More than 2 weeks,"Irizarry,Yolanda",We have all the requirements,3
Healthcare Facilities/Services,123349.0,826438.3,2019-08-19,Product_1,500 Million - 1 Billion,Category 2,India,Bareilly,manisha,CEO,"Psychologist, educational",Website,Level 3,5 days back,"Leu,Darren L",Yes,5
Real Estate,308373.0,2035261.8,2019-08-17,Product_1,100 - 500 Million,Category 1,USA,"College Station-Bryan, TX",Mark Anderson,CEO/President,"Accountant, chartered public finance",Marketing Event,Level 2,2 days back,"Meli,Teresa V",Cannot deliver,2
Internet Software,14553.0,84492.75974698078,2020-07-27,Product_1,100 - 500 Million,Category 1,India,Diu,heena,SVP/General Counsel ,Careers information officer,Contact Email,Level 3,?,"Dyson,William A",We have all the requirements,4
Real Estate,194795.0,1130953.5583668742,2019-06-30,Product_2,50 - 100 Million,Category 4,USA,"Lansing-East Lansing, MI",Andrea Robertson,Chairman/Chief Innovation Officer,Advertising account executive,Others,Level 2,more than a month,"Georgakopoulos,Vasilios T",Yes,2
Software Consulting,100868.0,615294.8,2019-12-19,Product_1,500 Million - 1 Billion,Category 3,USA,"Billings, MT",Scott Medina,Chairman/CEO/President,Police officer,Marketing Event,Level 1,Following up but lead not responding,"Heidelberg,Andre D",We have all the requirements,1
Banks,320859.0,1925154.0,2019-01-21,Product_1,100 - 500 Million,Category 3,India,Tonk,vimala,Chief Executive Officer,"Engineer, production",Marketing Event,Level 1,Up-to-date,"Houston,Arnold E",Yes,3
Staffing,356589.0,2353487.4,2020-05-19,Product_2,50 - 100 Million,Category 1,India,Abohar,vineeta,Chairman/CEO/President,Phytotherapist,Marketing Event,Level 3,Pending,"Hameier,Kurt E",Cannot deliver,2
Education/Training,96066.0,557182.8,2019-07-23,Product_1,50 - 100 Million,Category 3,India,Aligarh,sakshi,CEO,Sports administrator,Others,Level 3,2 days back,"Hanyok,John J",We have all the requirements,2
Software,397714.0,2704455.2,2020-08-04,Product_2,100 - 500 Million,Category 2,USA,"Rome, GA",William Rich,Executive Vice President,"Engineer, manufacturing systems",Website,Level 3,Following up but lead not responding,"Logan,Kevin N",Not enough,5
Restaurants,58529.0,380438.5,2020-07-04,Product_2,50 - 100 Million,Category 1,India,Muzaffarpur,mamta,CEO/Co-Founder/Chairman,English as a foreign language teacher,Contact Email,Level 3,Unknown,"Massiah,Gerard F",No,3
REIT,39768.0,222700.8,2020-03-07,Product_1,50 - 100 Million,Category 3,India,Bakshpur,vijaya devi,CEO,Research scientist (life sciences),Website,Level 2,Up-to-date,"Brown,Maxine A",Cannot deliver,1
Energy,326944.0,2190524.8,2020-07-03,Product_2,500 Million - 1 Billion,Category 4,USA,"Jefferson City, MO",Jessica Pitts,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Nutritional therapist,Marketing Event,Level 2,5 days back,"Gilley,Janine",Yes,1
Insurance,289402.0,1680229.0700402483,2019-07-24,Product_2,100 - 500 Million,Category 2,India,Salem,pinki,Chief Executive Officer,Community arts worker,Marketing Event,Level 1,Following up but lead not responding,"Davis,Brian R",We have all the requirements,1
Furniture/Fixtures,20372.0,131399.4,2021-01-13,Product_1,100 - 500 Million,Category 2,USA,"Binghamton, NY",Amy Roy,SVP/General Counsel ,Education administrator,Marketing Event,Level 3,More than a week back,"Ullrich,Rose Anne",We have all the requirements,4
BioTech/Drugs,268413.0,1758105.15,2019-11-21,Product_1,100 - 500 Million,Category 1,India,Jodhpur,lalita choudhry,Executive Vice President,"Administrator, Civil Service",Contact Email,Level 3,Did not hear back after Level 1,"Meli,Teresa V",Cannot deliver,1
Financial Services,103466.0,719088.7,2020-07-18,Product_2,100 - 500 Million,Category 4,India,Jorhat,kavita,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Recruitment consultant,Contact Email,Level 3,Following up but lead not responding,"Brown,Maxine A",Not enough,5
Healthcare Facilities/Services,145215.0,843098.7498562369,2020-02-03,Product_2,500 Million - 1 Billion,Category 4,USA,"Dothan, AL",Jeffrey Gray,SVP/General Counsel ,Dentist,Contact Email,Level 2,5 days back,"Featherstone,Adrian R",We have all the requirements,1
Investment Bank/Brokerage,353308.0,2013855.6,2019-10-27,Product_2,100 - 500 Million,Category 2,India,Indore,sahawaj,Chief Executive Officer,Historic buildings inspector/conservation officer,Contact Email,Level 1,No track,"Davis,Sharrice A",Yes,4
Construction Services,27189.0,191682.45,2019-04-20,Product_1,500 Million - 1 Billion,Category 4,India,Khammam,riya masi,CEO/Co-Founder/Chairman,"Designer, interior/spatial",Marketing Event,Level 3,More than a week back,"McKenstry,Loretta A",Yes,5
Biotech/Healthcare,140037.0,945249.75,2020-09-05,Product_2,100 - 500 Million,Category 1,USA,"Scranton--Wilkes-Barre--Hazleton, PA",Robert Carroll,Chief Executive Officer,Aeronautical engineer,Website,Level 2,No track,"Green,Ann E",We have all the requirements,3
Furniture/Fixtures,447489.0,2953427.4,2019-11-05,Product_2,100 - 500 Million,Category 4,USA,"Green Bay, WI",Jessica Owen,SVP/General Counsel ,Minerals surveyor,Others,Level 2,More than a week back,"Massiah,Gerard F",No,5
Grocery,305222.0,1772077.8612995923,2020-11-25,Product_2,100 - 500 Million,Category 4,India,Bhopal ,munni w/o ami lal,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Firefighter,Contact Email,Level 2,2 days back,"Pappas,Mark S",Cannot deliver,2
Recreational Products,387151.0,2380978.65,2020-07-22,Product_1,100 - 500 Million,Category 3,USA,"Sebring, FL",Elizabeth Moss,CEO/Chairman/President,Land/geomatics surveyor,Others,Level 3,5 days back,"Robinson,John C",No,2
Chemical Manufacturing,126778.0,709956.8,2020-04-23,Product_1,500 Million - 1 Billion,Category 2,India,Lucknow,mam kaur,CEO,"Engineer, electronics",Others,Level 1,No track,"Jones,Michael L",Yes,4
Materials/Manufacturing,248887.0,1443544.6,2019-09-18,Product_2,50 - 100 Million,Category 3,India,Bhavnagar,poonam,CEO/Chairman/President,Museum/gallery conservator,Others,Level 3,More than a week back,"Gould,Lisa D",Yes,2
Chemical Manufacturing,281249.0,1701556.45,2020-09-22,Product_1,50 - 100 Million,Category 1,USA,"Birmingham-Hoover, AL",Jonathan Knight,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Acupuncturist,Contact Email,Level 1,2 days back,"Leu,Darren L",Cannot deliver,1
Healthcare Facilities/Services,205620.0,1202877.0,2020-03-20,Product_1,50 - 100 Million,Category 3,India,Davangere,ashu,CEO,Health promotion specialist,Contact Email,Level 2,No track,"Hanyok,John J",Deliverable,4
Trucking,350034.0,1872681.9,2019-01-30,Product_2,50 - 100 Million,Category 2,India,Adilabad,priya,CEO/Chairman/President,Environmental education officer,Contact Email,Level 1,Up-to-date,"Dyson,William A",No,2
Personal Services,32376.0,200731.2,2020-06-06,Product_2,100 - 500 Million,Category 4,India,Silvassa,mala,CEO/Co-Founder/Chairman,Equities trader,Marketing Event,Level 2,?,"Gaskins Jr,Franklin D",Yes,2
Banks,139857.0,937041.9,2020-04-09,Product_2,100 - 500 Million,Category 3,India,Bharatpur,jyoti,CEO,Phytotherapist,Website,Level 3,Did not hear back after Level 1,"Ryker,David",Not enough,5
Banks,420057.0,2919396.15,2020-07-24,Product_1,100 - 500 Million,Category 4,USA,"Burlington-South Burlington, VT",David Thornton,Executive Vice President,Newspaper journalist,Marketing Event,Level 3,more than a month,"Sutton,Michelle R",No,1
Banks,473639.0,3102335.45,2020-02-02,Product_2,100 - 500 Million,Category 1,USA,"Greenville-Anderson-Mauldin, SC",Jennifer Fowler,CEO/Co-Founder/Chairman,Publishing rights manager,Others,Level 3,2 days back,"Gaskins Jr,Franklin D",We have all the requirements,1
Banks,8123.0,51174.9,2019-09-28,Product_2,500 Million - 1 Billion,Category 4,India,Mahabubnagar,palak,CEO/President,Chartered public finance accountant,Contact Email,Level 2,Did not hear back after Level 1,"Kiepea,Prince A",Cannot deliver,3
Insurance,203633.0,1272706.25,2020-03-25,Product_1,50 - 100 Million,Category 1,USA,"Kingsport-Bristol-Bristol, TN-VA",Jacob Moore,CEO/President,Community pharmacist,Others,Level 2,Following up but lead not responding,"Jones,Michael L",Deliverable,3
Services,55272.0,317814.0,2020-07-25,Product_2,100 - 500 Million,Category 2,India,Davangere,sangeeta pandey,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Quality manager,Website,Level 1,Up-to-date,"Jones,Eyvette W",We have all the requirements,4
Financial Services,21528.0,142084.8,2019-07-07,Product_2,100 - 500 Million,Category 1,USA,"Tampa-St. Petersburg-Clearwater, FL",Tina Sullivan DDS,Chairman/CEO/President,Multimedia specialist,Marketing Event,Level 2,5 days back,"Rocks,Michael J",Cannot deliver,3
Training,293634.0,1879257.6,2020-03-24,Product_1,100 - 500 Million,Category 1,USA,"Kokomo, IN",Michelle Martinez,CEO,Exhibition designer,Contact Email,Level 2,more than a month,"Charles,Caleb",We have all the requirements,1
Health/Accident,471692.0,2995244.2,2019-03-11,Product_2,50 - 100 Million,Category 3,USA,"Hattiesburg, MS",Maria Gomez,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Air broker,Website,Level 3,More than a week back,"Hanyok,John J",Deliverable,2
Hotels/Motels,435551.0,2417308.05,2020-06-02,Product_1,50 - 100 Million,Category 2,India,Vizianagaram,hina,Chairman/CEO/President,Special educational needs teacher,Contact Email,Level 1,Following up but lead not responding,"Mabrey,Kevin C",Not enough,3
Healthcare Facilities/Services,215488.0,1271379.2,2020-06-25,Product_1,100 - 500 Million,Category 2,India,Haora,lalita,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Environmental consultant,Contact Email,Level 2,More than a week back,"Brown,Maxine A",Not enough,3
Health/Accident,20117.0,114666.9,2019-08-16,Product_2,100 - 500 Million,Category 2,India,Tirupati,babita,SVP/General Counsel ,Paediatric nurse,Marketing Event,Level 1,Up-to-date,"Young,Valerie K",Yes,4
